"gseid","ngsm","restoration.grn","biotin.stain.red","biotin.stain.grn","specificityI.red","specificityI.grn","specificityII","extension.red","extension.grn","hyb.hi.med","hyb.med.low","target.removal.1","target.removal.2","bisulfite.conv.I.red","bisulfite.conv.I.grn","bisulfite.conv.II","nonpolymorphic.red","nonpolymorphic.grn","meth_<_10","unmeth_<_10","meth_<_11","unmeth_<_11","meth_<_12","unmeth_<_12","qc.stf.filt","ba.stf.filt"
"GSE108462",180,0,0.21,0.25,0,0,0,0,0,0,0,0,0,0.3,0.14,0.19,0,0.02,0,0,0.02,0.03,0.17,0.27,"below","below"
"GSE79185",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.38,0.43,0.95,0.98,"below","below"
"GSE69633;GSE69636",91,0,0,0,0.18,0.09,0.01,0,0,0,0,0,0,0.46,0.58,0.13,0.51,0.49,0.12,0.05,0.35,0.13,0.58,0.65,"below","below"
"GSE127824",24,0,0.33,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,1,"below","below"
"GSE106556",20,0,0.3,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.55,1,"below","above"
"GSE68825",142,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0,0,0,0,0,0.03,0.04,0.51,0.82,"below","below"
"GSE73515;GSE73518",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.3,0,"below","below"
"GSE102970",47,0,0.6,0.57,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.26,0.02,1,0.55,"below","below"
"GSE67733",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,"below","below"
"GSE103427;GSE103425",24,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,1,1,"below","below"
"GSE77348",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.39,0.73,"below","below"
"GSE61452;GSE61454",60,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.52,0.4,0.57,0.95,0,0,0.13,0,0.98,0.62,"below","above"
"GSE94063;GSE94282",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"below","below"
"GSE52025;GSE53261",62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.58,0.13,"below","below"
"GSE89253;GSE89251",136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.07,0.98,1,"below","below"
"GSE40699",61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.07,0,0,0.03,0.02,0.1,0.11,"below","below"
"GSE107737",24,0,0.58,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,"below","below"
"GSE73549",92,0,0.09,0.22,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.02,0.14,0.16,0,0.74,0.15,1,0.99,"below","below"
"GSE103768;GSE103769",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.93,"below","below"
"GSE111396",61,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.98,0.25,"below","below"
"GSE97529",36,0,0.14,0.25,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.06,0,0,0.06,0,0.69,0.11,"below","below"
"GSE83944",48,0,0.44,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,1,1,1,"below","below"
"GSE100563;GSE100561",12,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,"below","below"
"GSE86829;GSE86833",15,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,1,0.8,"below","below"
"GSE100653",18,0,0.22,0.17,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.5,0,0,0.11,0,1,0.11,"below","below"
"GSE60655",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.03,"below","below"
"GSE76503",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,1,1,"below","below"
"GSE106089",83,0,0.17,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.22,"below","below"
"GSE72867",69,0,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.65,"below","below"
"GSE72120",72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0.11,0.11,0.64,0.14,1,1,"below","below"
"GSE111428",6,0,0,0,0.33,0,0,0,0,0,1,0,0,0.17,0.17,0.17,0.17,0.33,0.33,0.33,1,0.83,1,1,"above","above"
"GSE95816",29,0,0.07,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.21,"below","below"
"GSE86961",82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.12,1,1,"below","below"
"GSE82084",35,0,0.11,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.77,0.83,"below","below"
