"tissue","gsmid"
"blood","GSM2815125"
"blood","GSM2814794"
"blood","GSM1920399"
"blood","GSM2815405"
"blood","GSM2337350"
"blood","GSM3035557"
"blood","GSM2337564"
"blood","GSM2127904"
"blood","GSM3026790"
"blood","GSM3035754"
"blood","GSM2815026"
"blood","GSM2334019"
"blood","GSM1506567"
"blood","GSM2814800"
"blood","GSM2562800"
"blood","GSM1506549"
"blood","GSM2334277"
"blood","GSM1649809"
"blood","GSM2465169"
"blood","GSM2815570"
"blood","GSM2867892"
"blood","GSM2363816"
"blood","GSM3026670"
"blood","GSM2815096"
"blood","GSM2814913"
"blood","GSM2363835"
"blood","GSM2363749"
"blood","GSM2089968"
"blood","GSM2260670"
"blood","GSM2815047"
"blood","GSM1920362"
"blood","GSM2334474"
"blood","GSM2363639"
"blood","GSM2337384"
"blood","GSM2562760"
"blood","GSM2337314"
"blood","GSM2738260"
"blood","GSM2515101"
"blood","GSM2337349"
"blood","GSM2334168"
"blood","GSM1506402"
"blood","GSM2738226"
"blood","GSM2815335"
"blood","GSM2656204"
"blood","GSM3440673"
"blood","GSM2337597"
"blood","GSM2815348"
"blood","GSM2814489"
"blood","GSM2260583"
"blood","GSM2877350"
"blood","GSM2807792"
"blood","GSM2796294"
"blood","GSM2865162"
"blood","GSM2814228"
"blood","GSM1506296"
"blood","GSM3035714"
"blood","GSM2090005"
"blood","GSM3026615"
"blood","GSM2815606"
"blood","GSM2814759"
"blood","GSM3035866"
"blood","GSM2814246"
"blood","GSM2333996"
"blood","GSM1705066"
"blood","GSM1425626"
"blood","GSM3440701"
"blood","GSM1847994"
"blood","GSM2334337"
"blood","GSM2337289"
"blood","GSM3026622"
"blood","GSM2648840"
"blood","GSM3026762"
"blood","GSM2334141"
"blood","GSM2337394"
"blood","GSM2815347"
"blood","GSM3035933"
"blood","GSM2814055"
"blood","GSM2334152"
"blood","GSM2865142"
"blood","GSM2334355"
"blood","GSM3035905"
"blood","GSM2337592"
"blood","GSM1848013"
"blood","GSM2465233"
"blood","GSM2337522"
"blood","GSM1920443"
"blood","GSM2337537"
"blood","GSM1506577"
"blood","GSM1506295"
"blood","GSM1649801"
"blood","GSM1506314"
"blood","GSM3035826"
"blood","GSM2334228"
"blood","GSM2334306"
"blood","GSM2562795"
"blood","GSM3440322"
"blood","GSM2465185"
"blood","GSM3035777"
"blood","GSM2334104"
"blood","GSM2334586"
"blood","GSM2334303"
"blood","GSM2814303"
"blood","GSM2814329"
"blood","GSM2334602"
"blood","GSM2867819"
"blood","GSM2337414"
"blood","GSM2465166"
"blood","GSM3045520"
"blood","GSM2267982"
"blood","GSM1506332"
"blood","GSM3035801"
"blood","GSM2334436"
"blood","GSM2465256"
"blood","GSM2337383"
"blood","GSM3026619"
"blood","GSM2334465"
"blood","GSM3440351"
"blood","GSM2363770"
"blood","GSM2363838"
"blood","GSM3440708"
"blood","GSM2815040"
"blood","GSM2877338"
"blood","GSM3440498"
"blood","GSM2656392"
"blood","GSM1920447"
"blood","GSM2562775"
"blood","GSM2260714"
"blood","GSM2465219"
"blood","GSM2334417"
"blood","GSM1624835"
"blood","GSM3440544"
"blood","GSM2465157"
"blood","GSM1649752"
"blood","GSM2586448"
"blood","GSM2334138"
"blood","GSM1920391"
"blood","GSM2814433"
"blood","GSM3440531"
"blood","GSM2865179"
"blood","GSM2334370"
"blood","GSM2814560"
"blood","GSM2337485"
"blood","GSM2337538"
"blood","GSM1506550"
"blood","GSM1920371"
"blood","GSM2814545"
"blood","GSM2815337"
"blood","GSM3026651"
"blood","GSM3440505"
"blood","GSM2334415"
"blood","GSM2815146"
"blood","GSM2337444"
"blood","GSM2337003"
"blood","GSM2334258"
"blood","GSM2337532"
"blood","GSM2127923"
"blood","GSM2260688"
"blood","GSM3035705"
"blood","GSM2334117"
"blood","GSM2656397"
"blood","GSM2334481"
"blood","GSM2334364"
"blood","GSM2815027"
"blood","GSM1506362"
"blood","GSM2363737"
"blood","GSM2268013"
"blood","GSM2814177"
"blood","GSM2814733"
"blood","GSM2267980"
"blood","GSM3035588"
"blood","GSM2815583"
"blood","GSM2334382"
"blood","GSM2867796"
"blood","GSM2562728"
"blood","GSM2794353"
"blood","GSM2333936"
"blood","GSM2260712"
"blood","GSM2465203"
"blood","GSM2363840"
"blood","GSM2815216"
"blood","GSM2814736"
"blood","GSM2807755"
"blood","GSM3380762"
"blood","GSM1649750"
"blood","GSM3035890"
"blood","GSM3035820"
"blood","GSM3035819"
"blood","GSM2814062"
"blood","GSM2334136"
"blood","GSM1649781"
"blood","GSM3035711"
"blood","GSM3045527"
"blood","GSM2260578"
"blood","GSM2815489"
"blood","GSM3026682"
"blood","GSM2815482"
"blood","GSM2814454"
"blood","GSM2465170"
"blood","GSM3026624"
"blood","GSM2334049"
"blood","GSM2363597"
"blood","GSM3035874"
"blood","GSM2815280"
"blood","GSM2738160"
"blood","GSM2815312"
"blood","GSM2814541"
"blood","GSM2815613"
"blood","GSM2814567"
"blood","GSM2334578"
"blood","GSM1506425"
"blood","GSM2334582"
"blood","GSM2260548"
"blood","GSM2267999"
"blood","GSM2267994"
"blood","GSM2267988"
"blood","GSM2656211"
"blood","GSM1506562"
"blood","GSM2865185"
"blood","GSM2260585"
"blood","GSM2814655"
"blood","GSM2814867"
"blood","GSM2656365"
"blood","GSM3035887"
"blood","GSM2334440"
"blood","GSM3035491"
"blood","GSM2337438"
"blood","GSM2656229"
"blood","GSM2363583"
"blood","GSM2337480"
"blood","GSM2814349"
"blood","GSM2337581"
"blood","GSM2363563"
"blood","GSM2814495"
"blood","GSM3035830"
"blood","GSM3035562"
"blood","GSM2814574"
"blood","GSM2656287"
"blood","GSM2337254"
"blood","GSM1920458"
"blood","GSM2814269"
"blood","GSM1705046"
"blood","GSM2465167"
"blood","GSM2814126"
"blood","GSM3035618"
"blood","GSM2814713"
"blood","GSM2090014"
"blood","GSM2814158"
"blood","GSM2814610"
"blood","GSM1705015"
"blood","GSM3380771"
"blood","GSM2648838"
"blood","GSM2656300"
"blood","GSM2337569"
"blood","GSM3440348"
"blood","GSM2260568"
"blood","GSM3035901"
"blood","GSM2815629"
"blood","GSM2738220"
"blood","GSM2363544"
"blood","GSM1622784"
"blood","GSM3026713"
"blood","GSM2349507"
"blood","GSM2337448"
"blood","GSM2814134"
"blood","GSM2334249"
"blood","GSM2333962"
"blood","GSM2363702"
"blood","GSM2865088"
"blood","GSM2815619"
"blood","GSM2363848"
"blood","GSM2334599"
"blood","GSM3440423"
"blood","GSM1338104"
"blood","GSM3035602"
"blood","GSM2465247"
"blood","GSM3026688"
"blood","GSM2867841"
"blood","GSM2738280"
"blood","GSM2656192"
"blood","GSM2814792"
"blood","GSM2656370"
"blood","GSM3026650"
"blood","GSM2334446"
"blood","GSM3380793"
"blood","GSM2337500"
"blood","GSM2337276"
"blood","GSM3035965"
"blood","GSM2867813"
"blood","GSM3035847"
"blood","GSM3440779"
"blood","GSM2349505"
"blood","GSM2656282"
"blood","GSM2337526"
"blood","GSM3026768"
"blood","GSM3440453"
"blood","GSM2738180"
"blood","GSM3026693"
"blood","GSM2815115"
"blood","GSM2814229"
"blood","GSM3026774"
"blood","GSM3026758"
"blood","GSM2334321"
"blood","GSM2814921"
"blood","GSM2738187"
"blood","GSM2337620"
"blood","GSM2333917"
"blood","GSM2815579"
"blood","GSM1506472"
"blood","GSM2337299"
"blood","GSM2334210"
"blood","GSM2363537"
"blood","GSM2814286"
"blood","GSM2337573"
"blood","GSM1646168"
"blood","GSM1649823"
"blood","GSM2814856"
"blood","GSM2586406"
"blood","GSM2334634"
"blood","GSM2814910"
"blood","GSM2865184"
"blood","GSM3035576"
"blood","GSM2586453"
"blood","GSM1338109"
"blood","GSM2815198"
"blood","GSM2656234"
"blood","GSM1338122"
"blood","GSM2815589"
"blood","GSM1622778"
"blood","GSM2337264"
"blood","GSM2334087"
"blood","GSM2815189"
"blood","GSM2337323"
"blood","GSM2337401"
"blood","GSM1506427"
"blood","GSM3035856"
"blood","GSM2334098"
"blood","GSM1506410"
"blood","GSM2334007"
"blood","GSM3440501"
"blood","GSM2562859"
"blood","GSM1920366"
"blood","GSM1622789"
"blood","GSM2656315"
"blood","GSM2337399"
"blood","GSM2656398"
"blood","GSM2877353"
"blood","GSM2656333"
"blood","GSM2770865"
"blood","GSM1848014"
"blood","GSM2942838"
"blood","GSM2337584"
"blood","GSM2562785"
"blood","GSM2815607"
"blood","GSM2656417"
"blood","GSM2738151"
"blood","GSM2334500"
"blood","GSM3035539"
"blood","GSM2334013"
"blood","GSM2363717"
"blood","GSM3035421"
"blood","GSM3026641"
"blood","GSM2363755"
"blood","GSM2814624"
"blood","GSM3035649"
"blood","GSM2334327"
"blood","GSM1649820"
"blood","GSM2815132"
"blood","GSM2814528"
"blood","GSM2865095"
"blood","GSM3267083"
"blood","GSM2562869"
"blood","GSM3440575"
"blood","GSM2814274"
"blood","GSM2334389"
"blood","GSM2656221"
"blood","GSM3035457"
"blood","GSM2127959"
"blood","GSM2815413"
"blood","GSM2337341"
"blood","GSM1425671"
"blood","GSM1920389"
"blood","GSM2334624"
"blood","GSM2814679"
"blood","GSM2814399"
"blood","GSM2363535"
"blood","GSM1506313"
"blood","GSM2815262"
"blood","GSM3026784"
"blood","GSM2337484"
"blood","GSM2334297"
"blood","GSM2807752"
"blood","GSM2656194"
"blood","GSM2815521"
"blood","GSM2337506"
"blood","GSM2333950"
"blood","GSM1622782"
"blood","GSM2363571"
"blood","GSM2562886"
"blood","GSM3440497"
"blood","GSM1649815"
"blood","GSM2814673"
"blood","GSM2656247"
"blood","GSM1705058"
"blood","GSM1920408"
"blood","GSM2363663"
"blood","GSM2656171"
"blood","GSM2814253"
"blood","GSM2333904"
"blood","GSM3035629"
"blood","GSM2334196"
"blood","GSM2337525"
"blood","GSM3035493"
"blood","GSM2815382"
"blood","GSM2815131"
"blood","GSM1506522"
"blood","GSM2337261"
"blood","GSM2334469"
"blood","GSM3045500"
"blood","GSM3035406"
"blood","GSM2465155"
"blood","GSM2334036"
"blood","GSM2363771"
"blood","GSM2794359"
